Feature,Weight
cat__Sender_Sector_48230.0,0.7378965781179321
cat__Sender_Sector_25785.0,0.7364487973019634
cat__Sender_Sector_9048.0,0.7363383713489726
cat__Sender_Sector_14183.0,0.7345594833093503
cat__Sender_Sector_25496.0,0.7327865534690207
cat__Sender_Sector_32450.0,0.7320908774333097
cat__Sender_Sector_19969.0,0.7309963819754658
cat__Sender_Sector_1141.0,0.7294667815150825
cat__Sender_Sector_14749.0,0.7282710749214405
cat__Sender_Sector_18205.0,0.7279861208200414
cat__Sender_Sector_22396.0,0.7275906995451178
cat__Sender_Sector_47771.0,0.7264868471796245
cat__Sender_Sector_4890.0,0.7256169184027872
cat__Sender_Sector_25008.0,0.7241104051261966
cat__Sender_Sector_44721.0,0.7237505614283848
cat__Sender_Sector_3215.0,0.7234954111733521
cat__Sender_Sector_39098.0,0.7234567160464546
cat__Sender_Sector_19247.0,0.7230209454793082
cat__Sender_Sector_9194.0,0.720310323808444
cat__Sender_Sector_20632.0,0.7189426762522304
cat__Sender_Sector_46983.0,0.7185347340836512
cat__Sender_Sector_20075.0,0.718395915776689
cat__Sender_Sector_24220.0,0.7173808858389542
cat__Sender_Sector_9066.0,0.7164396743107616
cat__Sender_Sector_12385.0,0.7162233997131996
cat__Sender_Sector_30629.0,0.716203992886132
cat__Sender_Sector_44140.0,0.7160018782372194
cat__Sender_Sector_24340.0,0.7158290844374902
cat__Sender_Sector_3181.0,0.7156894098027329
cat__Sender_Sector_29781.0,0.7154878488460668
cat__Sender_Sector_547.0,0.7153475009377006
cat__Sender_Sector_49607.0,0.7149643079646217
cat__Sender_Sector_44656.0,0.713966913730389
cat__Sender_Sector_30823.0,0.7138941405041517
cat__Sender_Sector_8708.0,0.7135640784418875
cat__Sender_Sector_10708.0,0.713289174830388
cat__Sender_Sector_28322.0,0.7124440710073976
cat__Sender_Sector_4272.0,0.7120052072180793
cat__Sender_Sector_8542.0,0.7117731389441959
cat__Sender_Sector_1993.0,0.711652181019313
cat__Sender_Sector_25927.0,0.7112138163505741
cat__Sender_Sector_24024.0,0.7111463053000451
cat__Sender_Sector_33581.0,0.7108506333635345
cat__Sender_Sector_26112.0,0.710625041992392
cat__Sender_Sector_7460.0,0.7105913591281148
cat__Sender_Sector_25969.0,0.7105761810534399
cat__Sender_Sector_40625.0,0.7101377671328573
cat__Sender_Sector_17312.0,0.709973396896048
cat__Sender_Sector_44312.0,0.7097886123942566
cat__Sender_Sector_45680.0,0.7097859754849336
cat__Sender_Sector_24512.0,0.7097003551118068
